DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MIN_ENERGY_PRICE_[EUR/MWh];TOTAL_AVERAGE_ENERGY_PRICE_[EUR/MWh];TOTAL_MARGINAL_ENERGY_PRICE_[EUR/MWh];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_ENERGY_PRICE_[EUR/MWh];GERMANY_AVERAGE_ENERGY_PRICE_[EUR/MWh];GERMANY_MARGINAL_ENERGY_PRICE_[EUR/MWh];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MIN_ENERGY_PRICE_[EUR/MWh];AUSTRIA_AVERAGE_ENERGY_PRICE_[EUR/MWh];AUSTRIA_MARGINAL_ENERGY_PRICE_[EUR/MWh];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
01/01/2021;01/01/2021;aFRR;POS_00_04;0,0000;1,2143;1,5650;n.a.;n.a.;n.a.;0,7500;1,2554;1,5650;n.a.;n.a.;n.a.;-46,00;0,0000;0,9000;1,5600;n.a.;n.a.;n.a.;46,00;4217,00
01/01/2021;01/01/2021;aFRR;POS_04_08;0,0000;1,6551;2,2500;n.a.;n.a.;n.a.;1,0000;1,7247;2,2500;n.a.;n.a.;n.a.;-80,00;0,0000;1,1859;2,0600;n.a.;n.a.;n.a.;80,00;4401,00
01/01/2021;01/01/2021;aFRR;POS_08_12;0,0000;2,9874;3,4100;n.a.;n.a.;n.a.;2,2750;3,0972;3,4100;n.a.;n.a.;n.a.;-49,00;0,0000;2,1905;3,3800;n.a.;n.a.;n.a.;49,00;5067,00
01/01/2021;01/01/2021;aFRR;POS_12_16;0,0000;2,4990;3,3625;n.a.;n.a.;n.a.;1,0000;2,6782;3,3625;n.a.;n.a.;n.a.;-80,00;0,0000;1,2469;2,2100;n.a.;n.a.;n.a.;80,00;5090,00
01/01/2021;01/01/2021;aFRR;POS_16_20;0,0000;4,5470;5,4400;n.a.;n.a.;n.a.;2,7750;4,8362;5,4400;n.a.;n.a.;n.a.;-80,00;0,0000;2,6497;3,9400;n.a.;n.a.;n.a.;80,00;5075,00
01/01/2021;01/01/2021;aFRR;POS_20_24;0,0000;1,9853;2,6700;n.a.;n.a.;n.a.;1,2500;2,0601;2,6700;n.a.;n.a.;n.a.;-80,00;0,0000;1,4708;2,4700;n.a.;n.a.;n.a.;80,00;5025,00
01/01/2021;01/01/2021;aFRR;NEG_00_04;2,8000;5,2313;18,1400;n.a.;n.a.;n.a.;2,8000;4,8284;5,5825;n.a.;n.a.;n.a.;80,00;2,8000;12,5675;18,1400;n.a.;n.a.;n.a.;-80,00;4275,00
01/01/2021;01/01/2021;aFRR;NEG_04_08;1,5525;3,7359;14,0000;n.a.;n.a.;n.a.;1,5525;3,4981;4,6000;n.a.;n.a.;n.a.;80,00;1,6900;7,9265;14,0000;n.a.;n.a.;n.a.;-80,00;4217,00
01/01/2021;01/01/2021;aFRR;NEG_08_12;0,0000;1,1280;6,0000;n.a.;n.a.;n.a.;0,1275;1,0199;1,5000;n.a.;n.a.;n.a.;80,00;0,0000;3,1308;6,0000;n.a.;n.a.;n.a.;-80,00;4259,00
01/01/2021;01/01/2021;aFRR;NEG_12_16;0,0000;1,1444;6,0000;n.a.;n.a.;n.a.;0,1525;1,0937;1,4575;n.a.;n.a.;n.a.;80,00;0,0000;2,0508;6,0000;n.a.;n.a.;n.a.;-80,00;4396,00
01/01/2021;01/01/2021;aFRR;NEG_16_20;0,0000;0,9049;1,2500;n.a.;n.a.;n.a.;0,1200;0,9264;1,2500;n.a.;n.a.;n.a.;74,00;0,0000;0,5263;1,1600;n.a.;n.a.;n.a.;-74,00;4430,00
01/01/2021;01/01/2021;aFRR;NEG_20_24;0,0000;1,0099;6,4800;n.a.;n.a.;n.a.;0,1200;0,9194;1,1900;n.a.;n.a.;n.a.;78,00;0,0000;2,5256;6,4800;n.a.;n.a.;n.a.;-78,00;4400,00
02/01/2021;02/01/2021;aFRR;POS_00_04;0,0000;1,0959;1,3600;n.a.;n.a.;n.a.;0,0000;1,1512;1,3600;n.a.;n.a.;n.a.;-15,00;0,0000;0,5595;1,3400;n.a.;n.a.;n.a.;15,00;4216,00
02/01/2021;02/01/2021;aFRR;POS_04_08;0,0000;1,5994;1,9550;n.a.;n.a.;n.a.;0,8000;1,6653;1,9550;n.a.;n.a.;n.a.;-21,00;0,0000;1,0230;1,9500;n.a.;n.a.;n.a.;21,00;4349,00
02/01/2021;02/01/2021;aFRR;POS_08_12;0,0000;2,9013;3,3900;n.a.;n.a.;n.a.;1,9550;3,0162;3,3900;n.a.;n.a.;n.a.;-54,00;0,0000;2,0076;3,2800;n.a.;n.a.;n.a.;54,00;4909,00
02/01/2021;02/01/2021;aFRR;POS_12_16;0,0000;2,5342;3,0575;n.a.;n.a.;n.a.;0,0000;2,6806;3,0575;n.a.;n.a.;n.a.;-80,00;0,0000;1,4911;2,9800;n.a.;n.a.;n.a.;80,00;5020,00
02/01/2021;02/01/2021;aFRR;POS_16_20;0,0000;4,5975;5,3375;n.a.;n.a.;n.a.;3,0750;4,8056;5,3375;n.a.;n.a.;n.a.;-75,00;0,0000;3,1056;5,1300;n.a.;n.a.;n.a.;75,00;4946,00
02/01/2021;02/01/2021;aFRR;POS_20_24;0,0000;1,7875;2,2550;n.a.;n.a.;n.a.;0,2350;1,8306;2,2550;n.a.;n.a.;n.a.;21,00;0,0000;1,2901;2,2500;n.a.;n.a.;n.a.;-21,00;4858,00
02/01/2021;02/01/2021;aFRR;NEG_00_04;1,2000;4,5275;13,0800;n.a.;n.a.;n.a.;1,2000;4,1895;4,8325;n.a.;n.a.;n.a.;80,00;3,7500;10,1843;13,0800;n.a.;n.a.;n.a.;-80,00;4381,00
02/01/2021;02/01/2021;aFRR;NEG_04_08;1,1625;3,4654;9,0000;n.a.;n.a.;n.a.;1,1625;3,3153;3,9000;n.a.;n.a.;n.a.;80,00;2,4200;6,0009;9,0000;n.a.;n.a.;n.a.;-80,00;4278,00
02/01/2021;02/01/2021;aFRR;NEG_08_12;0,0000;0,9511;3,0000;n.a.;n.a.;n.a.;0,4900;0,9180;1,1900;n.a.;n.a.;n.a.;80,00;0,0000;1,5443;3,0000;n.a.;n.a.;n.a.;-80,00;4364,00
02/01/2021;02/01/2021;aFRR;NEG_12_16;0,0000;0,8835;1,6100;n.a.;n.a.;n.a.;0,2500;0,8924;1,1500;n.a.;n.a.;n.a.;80,00;0,0000;0,7363;1,6100;n.a.;n.a.;n.a.;-80,00;4409,00
02/01/2021;02/01/2021;aFRR;NEG_16_20;0,0000;0,7438;1,1000;n.a.;n.a.;n.a.;0,4900;0,7622;0,9950;n.a.;n.a.;n.a.;80,00;0,0000;0,4285;1,1000;n.a.;n.a.;n.a.;-80,00;4428,00
02/01/2021;02/01/2021;aFRR;NEG_20_24;0,0000;0,8501;4,3200;n.a.;n.a.;n.a.;0,2500;0,7869;0,9800;n.a.;n.a.;n.a.;80,00;0,0000;1,9244;4,3200;n.a.;n.a.;n.a.;-80,00;4327,00
