DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
01/01/2022;01/01/2022;aFRR;POS_00_04;0,00;0,68;0,98;0,30;0,69;0,98;76,00;0,00;0,58;0,98;-76,00;4276,00
01/01/2022;01/01/2022;aFRR;POS_04_08;0,47;1,29;1,55;0,60;1,32;1,55;-80,00;0,47;1,08;1,48;80,00;4373,00
01/01/2022;01/01/2022;aFRR;POS_08_12;1,18;3,44;5,23;1,75;3,55;5,23;-80,00;1,18;2,70;3,57;80,00;5133,00
01/01/2022;01/01/2022;aFRR;POS_12_16;0,78;2,75;4,05;1,68;2,86;4,05;-80,00;0,78;2,00;2,99;80,00;5146,00
01/01/2022;01/01/2022;aFRR;POS_16_20;2,46;8,98;25,32;4,54;9,51;25,32;-80,00;2,46;5,15;6,79;80,00;4515,00
01/01/2022;01/01/2022;aFRR;POS_20_24;0,51;1,96;3,60;1,00;2,07;3,60;-80,00;0,51;1,18;1,95;80,00;4428,00
01/01/2022;01/01/2022;aFRR;NEG_00_04;11,00;36,48;44,69;11,00;36,51;44,69;40,00;16,54;36,13;44,45;-40,00;3391,00
01/01/2022;01/01/2022;aFRR;NEG_04_08;8,00;31,68;38,70;8,00;31,95;38,70;24,00;14,91;28,80;38,11;-24,00;3467,00
01/01/2022;01/01/2022;aFRR;NEG_08_12;1,00;4,33;5,78;1,00;4,33;5,78;75,00;1,96;4,41;5,50;-75,00;3619,00
01/01/2022;01/01/2022;aFRR;NEG_12_16;0,40;4,33;5,99;0,40;4,32;5,61;80,00;2,40;4,48;5,99;-80,00;4128,00
