DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];GERMANY_ALLOCATED_VOLUME_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_ALLOCATED_VOLUME_[MW];CZECH_REPUBLIC_MIN_CAPACITY_PRICE_[(EUR/MW)/h];CZECH_REPUBLIC_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];CZECH_REPUBLIC_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];CZECH_REPUBLIC_IMPORT(-)_EXPORT(+)_[MW];CZECH_REPUBLIC_ALLOCATED_VOLUME_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
01/01/2025;01/01/2025;aFRR;POS_00_04;1,11;2,48;3,16;1,76;2,50;3,16;2,00;;1,11;2,27;3,13;-2,00;;;;;;;4810,00
01/01/2025;01/01/2025;aFRR;POS_04_08;1,48;2,82;3,24;1,99;2,84;3,24;35,00;;1,48;2,63;3,23;-35,00;;;;;;;4778,00
01/01/2025;01/01/2025;aFRR;POS_08_12;2,53;4,95;5,59;3,16;4,99;5,59;-31,00;;2,53;4,67;5,58;31,00;;;;;;;4608,00
01/01/2025;01/01/2025;aFRR;POS_12_16;2,04;3,81;4,25;2,51;3,84;4,25;39,00;;2,04;3,46;4,24;-39,00;;;;;;;4644,00
01/01/2025;01/01/2025;aFRR;POS_16_20;4,25;8,54;9,93;5,75;8,59;9,93;11,00;;4,25;8,10;9,90;-11,00;;;;;;;5124,00
01/01/2025;01/01/2025;aFRR;POS_20_24;2,06;4,93;5,93;3,75;5,00;5,93;-80,00;;2,06;4,51;5,91;80,00;;;;;;;4970,00
01/01/2025;01/01/2025;aFRR;NEG_00_04;0,00;19,67;28,80;8,35;20,29;28,80;35,00;;0,00;13,74;27,90;-35,00;;;;;;;4141,00
01/01/2025;01/01/2025;aFRR;NEG_04_08;0,00;17,82;23,72;7,00;18,47;23,72;43,00;;0,00;10,98;22,00;-43,00;;;;;;;4115,00
01/01/2025;01/01/2025;aFRR;NEG_08_12;0,00;8,15;19,12;1,50;8,62;19,12;12,00;;0,00;3,80;16,90;-12,00;;;;;;;4297,00
01/01/2025;01/01/2025;aFRR;NEG_12_16;0,00;11,17;19,17;2,50;11,93;19,17;14,00;;0,00;4,13;17,90;-14,00;;;;;;;4238,00
